Dist,GOPVote,DemVote,OtherVote,stateID,VID,PVI_GOP_State,PVI_GOP,TotPop,Black,BlackPct,White,WhitePct,Hispanic,HispanicPct,Female,FemalePct,Under35,Under35Pct,AtLeast65,AtLeast65Pct,MedianHHInc,Unemployed,BachelorDegreeOrHigher
AL-01,211825,116949,0,1,1,14,15,717438,196641,0.274087796,479955,0.668984637,23629,0.03293525,371573,0.517916531,312094,0.435011806,131151,0.182804647,50663,5.7,25
AL-02,197996,105286,0,1,1,14,16,674920,217508,0.322272269,424115,0.628392995,26112,0.03868903,349273,0.517502815,304708,0.451472767,120333,0.178292242,50494,4.5,23.5
AL-03,217384,104595,0,1,1,14,16,717896,188613,0.262730256,494456,0.688757146,21161,0.029476414,368261,0.512972631,323022,0.44995654,119892,0.167004691,51925,5.9,24
AL-04,261553,56237,0,1,1,14,30,687453,50846,0.073962875,596835,0.868182989,47731,0.069431656,350124,0.509306091,293821,0.427405219,128597,0.18706297,47531,4.3,17.5
AZ-01,176709,188469,0,2,1,5,2,782088,22032,0.028170743,502033,0.641913698,180055,0.230223453,383182,0.489947423,354615,0.453420843,154809,0.197943198,56117,6.9,25.2
AZ-02,170975,209945,0,2,1,5,1,733197,31650,0.043167116,599844,0.818121187,215257,0.293586853,370494,0.505313033,309732,0.422440354,163401,0.222860977,54835,4.7,35.3
AZ-03,95594,174243,0,2,1,5,-13,801531,35114,0.043808661,596963,0.74477843,521506,0.650637343,399174,0.498014425,434308,0.541848038,97382,0.121494989,54583,7.7,16.6
AZ-04,278002,120484,0,2,1,5,21,825763,13707,0.016599194,725078,0.878070342,169358,0.205092745,409879,0.496363969,296629,0.359218081,231593,0.280459405,55040,5.4,21
AZ-05,262414,183171,0,2,1,5,15,849917,33878,0.039860363,704936,0.829417461,140987,0.165883257,432395,0.508749678,377368,0.444005709,146847,0.172778048,82540,3.8,38.3
AZ-06,217783,199644,0,2,1,5,9,814971,24601,0.03018635,673502,0.826412228,145918,0.179046862,412399,0.506029049,327448,0.401790984,162366,0.199229175,76615,3.4,43.5
AZ-07,50226,165452,0,2,1,5,-23,853856,84627,0.09911156,622724,0.729307986,546780,0.640365589,430949,0.504709225,478207,0.560055794,72596,0.085021362,49066,5.5,15.8
